
page: 19
slot      disk      
number    address   value     
    18        21         0
    19         4         0
    20        19         0


page: 2
slot      disk      
number    address   value     
     1         7         7
     2        12         4
     3         2         4
     4         5         3
     5        18         3
     6         1         3
     7        14         3
     8        13         2
     9        16         2
    10         3         2
    11        11         1
    12        15         1
    13         6         1
    14        20         1
    15        10         1
    16         8         1
    17         9         0
    18        21         0
    19         4         0
    20        19         0


page: 17
slot      disk      
number    address   value     
     1        17         7
     2         7         4
     3        12         4
     4         2         3
     5         5         3
     6        18         3
     7         1         3
     8        14         2
     9        13         2
    10        16         2
    11         3         1
    12        11         1
    13        15         1
    14         6         1
    15        20         1
    16        10         1
    17         8         0
    18         9         0
    19        21         0
    20         4         0


page: 20
slot      disk      
number    address   value     
     1        17         6
     2         7         3
     3        12         3
     4         2         2
     5         5         2
     6        18         2
     7         1         2
     8        14         1
     9        13         1
    10        16         1
    11        20         1
    12         3         0
    13        11         0
    14        15         0
    15         6         0
    16        10         0
    17         8         0
    18         9         0
    19        21         0
    20         4         0


page: 13
slot      disk      
number    address   value     
     1        17         6
     2         7         3
     3        12         3
     4         2         2
     5         5         2
     6        18         2
     7         1         2
     8        13         2
     9        14         1
    10        16         1
    11        20         1
    12         3         0
    13        11         0
    14        15         0
    15         6         0
    16        10         0
    17         8         0
    18         9         0
    19        21         0
    20         4         0

